Time [s],Value,Parity Error,Framing Error
4.3351600000,0x3C,,
4.3362100000,0xC0,,
4.3372600000,0x5C,,
4.3383100000,0x80,,
4.3393600000,0x5C,,
4.3404100000,0xC0,,
4.3414600000,0x5C,,
4.3425150000,0x82,,
4.3435650000,0xCA,,
4.3446150000,0x5C,,
4.3456650000,0x5C,,
4.3467150000,0xC8,,
4.3477650000,0x5C,,
4.3488150000,0xE2,,
4.3498650000,0x7C,,
4.4243950000,0x3C,,
4.4254500000,0xC0,,
4.4265000000,0x5C,,
4.4275500000,0x80,,
4.4286000000,0x5C,,
4.4296500000,0xC0,,
4.4307000000,0x5C,,
4.4317500000,0xCA,,
4.4328050000,0x2A,,
4.4338550000,0x5C,,
4.4349050000,0x5C,,
4.4359550000,0x60,,
4.4370050000,0x5C,,
4.4380550000,0xE2,,
4.4391050000,0x7C,,
5.5762050000,0x3C,,
5.5772600000,0xC0,,
5.5783100000,0x5C,,
5.5793600000,0x80,,
5.5804100000,0x5C,,
5.5814600000,0xC0,,
5.5825100000,0x5C,,
5.5835600000,0xCA,,
5.5846150000,0x2A,,
5.5856650000,0x5C,,
5.5867150000,0x5C,,
5.5877650000,0x60,,
5.5888150000,0x5C,,
5.5898650000,0xE2,,
5.5909150000,0x7C,,
6.5815750000,0x3C,,
6.5826250000,0xC0,,
6.5836800000,0x5C,,
6.5847300000,0x80,,
6.5857800000,0x5C,,
6.5868300000,0xC0,,
6.5878800000,0x5C,,
6.5889300000,0xCA,,
6.5899800000,0x2A,,
6.5910350000,0x5C,,
6.5920850000,0x5C,,
6.5931350000,0x60,,
6.5941850000,0x5C,,
6.5952350000,0xE2,,
6.5962850000,0x7C,,
7.5883750000,0x3C,,
7.5894250000,0xC0,,
7.5904750000,0x5C,,
7.5915250000,0x80,,
7.5925750000,0x5C,,
7.5936250000,0xC0,,
7.5946750000,0x5C,,
7.5957250000,0xCA,,
7.5967800000,0x2A,,
7.5978300000,0x5C,,
7.5988800000,0x5C,,
7.5999300000,0x60,,
7.6009800000,0x5C,,
7.6020300000,0xE2,,
7.6030800000,0x7C,,
8.5918550000,0x3C,,
8.5929050000,0xC0,,
8.5939550000,0x5C,,
8.5950050000,0x80,,
8.5960550000,0x5C,,
8.5971050000,0xC0,,
8.5981600000,0x5C,,
8.5992100000,0xCA,,
8.6002600000,0x2A,,
8.6013100000,0x5C,,
8.6023600000,0x5C,,
8.6034100000,0x60,,
8.6044600000,0x5C,,
8.6055150000,0xE2,,
8.6065650000,0x7C,,
9.5929450000,0x3C,,
9.5939950000,0xC0,,
9.5950450000,0x5C,,
9.5960950000,0x80,,
9.5971450000,0x5C,,
9.5981950000,0xC0,,
9.5992450000,0x5C,,
9.6003000000,0xCA,,
9.6013500000,0x2A,,
9.6024000000,0x5C,,
9.6034500000,0x5C,,
9.6045000000,0x60,,
9.6055500000,0x5C,,
9.6066000000,0xE2,,
9.6076550000,0x7C,,
10.6028850000,0x3C,,
10.6039350000,0xC0,,
10.6049850000,0x5C,,
10.6060350000,0x80,,
10.6070850000,0x5C,,
10.6081350000,0xC0,,
10.6091900000,0x5C,,
10.6102400000,0xCA,,
10.6112900000,0x2A,,
10.6123400000,0x5C,,
10.6133900000,0x5C,,
10.6144400000,0x60,,
10.6154900000,0x5C,,
10.6165400000,0xE2,,
10.6175950000,0x7C,,
11.6143000000,0x3C,,
11.6153500000,0xC0,,
11.6164000000,0x5C,,
11.6174500000,0x80,,
11.6185000000,0x5C,,
11.6195500000,0xC0,,
11.6206000000,0x5C,,
11.6216550000,0xCA,,
11.6227050000,0x2A,,
11.6237550000,0x5C,,
11.6248050000,0x5C,,
11.6258550000,0x60,,
11.6269050000,0x5C,,
11.6279550000,0xE2,,
11.6290100000,0x7C,,
